CountryName,CountryCode,IndicatorName,IndicatorCode,1999,2000,D2001,D2002,D2003,D2004,D2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,D2017,2018,D2019
Angola,AGO,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,4.220965147,-6.940461553,5.247494541,10.87957748,18.26145032,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.81358577,4.804472704,3.006980545,-0.036428853,1.183007425,0.922308737,1.532288094
Antigua and Barbuda,ATG,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,-3.194241893,2.92425143,5.913631425,5.286420149,6.083228432,13.37640019,9.49894448,0.071111021,-12.03601506,-7.142991335,-1.793435604,3.837468792,-0.200092652,4.602793481,4.126998335,3.715,2.2,1.7,1.7
Argentina,ARG,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,-4.408839696,-10.89448481,8.837040776,9.029573321,8.852203425,8.047251613,9.007799282,4.056952857,-5.918020561,10.12455968,6.004131402,-1.026621617,2.405450781,-2.5124702,2.647139697,-2.312210872,2.685859353,3.208765037,3.162606259
Armenia,ARM,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.300000002,3.6,3,0.2,2.7,3.1,3.4
Australia,AUS,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.503298402,3.981490931,2.996757705,3.944262166,3.201941151,2.722555574,4.528680239,2.450754612,1.787022427,2.378076584,2.565425363,3.692364865,2.137094921,2.76016884,2.417358098,2.35023,3.2,2.9,3
Austria,AUT,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.7457561,0.124223545,0.644844832,0.963058399,1.51096,1.6023,1.50213,1.445
Azerbaijan,AZE,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,1.1,-3.8,-1.4,0.6,1.3
Bahamas,BHS,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,1.538778853,0.612902596,3.086656779,0.010307048,-0.524452896,-1.663644107,1.237821748,1.495741698,1.839369041,1.839369041
Bahrain,BHR,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.490948108,3.348550668,6.296441979,6.980960594,6.768997871,6.467000122,8.293960448,6.241836482,2.540515119,4.336776264,1.983515012,3.728209851,5.416834514,4.350294067,2.864380566,3,1.9,1.9,2.3
Bangladesh,BGD,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.83317994,4.739567399,5.239508115,6.53594648,6.671936088,7.058591814,6.013770394,5.045125716,5.571803243,6.464384945,6.521451559,6.013610592,6.061078523,6.1,6.6,7.1,6.8,6.4,6.7
Barbados,BRB,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,-2.36733875,0.791122984,2.171253823,1.406764442,3.96497442,5.668590896,1.764284435,0.396022177,-4.032258065,0.255754476,0.756195335,0.298399494,-0.072124053,0.198484302,0.882405907,1.2,1.6,1.6,1.6
Belarus,BLR,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.740781216,5.543711461,1.731391223,1.073600801,1.723086003,-3.887698502,-2.6,-0.4,0.5,1.2
Belgium,BEL,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,0.811646522,1.780859367,0.774200785,3.6347767,2.094484984,2.499134936,3.397763272,0.747021058,-2.285112804,2.695144601,1.796888322,0.136797517,-0.067164784,1.653110551,1.500230786,1.23,1.26,1.30213,1.30231
Belize,BLZ,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,5.015662999,5.118559443,9.326537858,4.650468034,2.578742031,4.582560297,1.104310804,3.228494977,0.798878171,3.321951014,2.101268922,3.740409207,1.313559322,4.083494924,1.043801055,-1.5,2.1,2.02486,2
Benin,BEN,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,5.330410857,4.644470026,3.444044849,4.429629024,1.711577464,3.947013747,5.986516165,4.893393999,2.319226797,2.116851032,2.962750578,4.810284098,7.193097528,6.357520024,2.094459019,4.044735456,5.501029145,6.017518284,6.270227972
Bhutan,BTN,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,6.74,9.516,9.118,6.748,6.527,6.981,12.571,10.752,5.722,9.327,10.069,3.6,2.1,5.7,6.5,6.8,6.8,7.7,10.5
Bolivia,BOL,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.683805412,2.485560339,2.711336415,4.173298671,4.421434767,4.797005329,4.564386586,6.148497195,3.357001259,4.126719369,5.20409385,5.122280357,6.796000457,5.460564159,4.935392566,4.250531681,3.700789295,3.700288444,3.422113532
Bosnia and Herzegovina,BIH,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.6,5,3.5,6.3,3.93408,9.55459,10.43217,3.7519,-3.85767,0.8,1,-1.2,2.3,1.1,3,2.8,3.2,3.7,4
Botswana,BWA,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,-0.051291627,6.286673764,7.562788531,2.705868687,4.556650896,8.363950367,8.276867185,6.245243585,-7.652215729,8.563562667,6.048399906,4.456152513,11.34333957,4.149227691,-1.699793897,2.85640812,3.956762276,4.155956766,4.349788964
Brazil,BRA,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.391541602,3.053169694,1.140335448,5.760880713,3.202038486,3.960515871,6.072279167,5.093762019,-0.126158361,7.528809559,3.974419751,1.852559396,3.01513994,0.503959801,-3.769248958,-3.606339438,0.263117233,1.793761823,2.145271193
Bulgaria,BGR,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.770217793,5.9375164,5.156218443,6.435539514,7.123328714,6.874358379,7.344421909,6.021883402,-3.586145625,1.324087801,1.914905853,0.030969869,0.862165094,1.328756736,3.617459615,3.4,3,3.2,3.3
Burkina Faso,BFA,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,6.613399558,4.353004323,7.802439895,4.478474349,8.661861605,6.253158606,4.111381646,5.800005065,2.961878243,8.446325184,6.626874404,6.452674754,5.708753995,4.030336888,4.021049409,5.442940991,6.081085221,6.310722905,6.332987458
Burundi,BDI,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.055807109,4.446519419,-1.223727959,4.833657762,0.900037258,5.384657445,4.785835835,5.048117881,3.468425668,3.785902356,4.191625407,4.019365437,4.594053253,4.660918081,-3.904918017,-0.562285877,1.543163947,2.035510486,2.602777921
Cambodia,KHM,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,8.037950181,6.687880848,8.505898789,10.34052873,13.25008524,10.77108639,10.21257229,6.691577286,0.086698015,5.963078655,7.069570099,7.261323485,7.480003436,7.071526546,7.036086414,6.930252709,6.922766264,6.902563678,6.737974562
Cameroon,CMR,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,4.514271087,4.009044571,4.030993316,3.701854054,2.296852971,3.224002985,3.255664493,2.884046006,1.931850138,3.26864847,4.140590744,4.588739296,5.561687539,5.926963924,5.773247654,4.490831062,3.919475147,4.426064276,4.568777972
Canada,CAN,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.77074217,3.010090569,1.802199925,3.085961206,3.201450833,2.62334431,2.062747693,1.000360971,-2.94952472,3.083447387,3.141219002,1.745533264,2.475000375,2.565297771,0.941618297,1.4,2.05,1.94,1.94
Cape Verde,CPV,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.170688,6.6505205,-1.270425989,1.466790075,3.968886401,1.081918292,0.787905771,0.610832556,1.458124709,3.89250567,3.335169568,3.694105879,3.722564598
Chad,TCD,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052690516,4.217695532,13.5501007,0.082868551,8.882575253,5.700002054,6.899984307,1.800000636,-7.017276305,0.212991968,3.18209214,3.149709597
Chile,CHL,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.267877166,2.690127714,3.772390831,7.01613182,6.215144822,5.694335619,5.1608256,3.529486465,-1.56574924,5.845080696,6.11074627,5.318540806,4.01955476,1.921828353,2.305125768,1.628944872,1.837558079,2.026580725,2.332117374
China,CHN,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,8.33991055,9.130645945,10.03560303,10.11122346,11.39577594,12.71947902,14.23138804,9.654289373,9.399813171,10.63614046,9.536443008,7.85626211,7.757635146,7.297665959,6.914330108,6.6891188,6.511081416,6.277388068,6.347399717
Colombia,COL,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,1.677898308,2.503980466,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589503501,4.043951892,4.874056253,4.42063994,3.129241031,2.045548695,2.026118091,3.060173059,3.355279773
Comoros,COM,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,2.332936494,2.324779259,2.104101953,1.919602379,2.837407711,2.646899868,0.800153199,0.400267405,1.949999522,2.200000103,2.600000109,2.999999997,3.499999979,2.061639446,1.015118151,2.22395796,3.28579684,4.034067669,4.027655515
"Congo, Dem. Rep.",ZAR,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320981058,6.259469847,6.225900286,2.855060107,7.078889424,6.864630026,7.157859628,8.503503317,8.969479483,6.91618781,2.208766548,4.686113293,4.88555737,4.904181138
"Congo, Rep.",COG,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.8026019,4.581870061,0.813264075,3.476631623,7.755758578,6.235997013,-1.582224051,5.572264919,7.468878837,8.751657129,3.420621115,3.799996218,3.440705598,6.779940362,2.646447873,-2.054549221,1.042298037,1.542644921,1.54932115
Costa Rica,CRI,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.490474495,3.291748285,4.255481006,4.33657436,2.473373601,7.326903765,8.436373792,5.019822764,-0.970549543,4.951859609,4.30709971,4.812750215,2.299135077,3.660545691,4.719516815,4.325647924,3.761156112,3.552425039,3.488541073
Cote d'Ivoire,CIV,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,0.121371915,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387254788,10.7065041,8.889421302,8.486345568,9.163380703,7.781181149,6.847830134,6.459485103,6.291245197
Croatia,HRV,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.434480882,5.246401979,5.558075334,4.082620022,4.163998479,4.785190687,5.150082941,2.053110679,-7.383653,-1.701136888,-0.281367268,-2.187589799,-1.063876335,-0.4,1.64126,2.9,2.9,2.5,2.6
Cyprus,CYP,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.599514817,3.400015507,2.474597878,4.570634079,3.725656224,4.510035419,4.819572655,3.863255654,-1.772320026,1.318966558,0.320533826,-3.158276073,-5.952227639,-1.529743934,1.676676842,2.813507441,2.13,1.9023,1.8213
Czech Republic,CZE,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,3.051521283,1.64694964,3.601842545,4.947456257,6.4422623,6.87654427,5.529266339,2.710955571,-4.841785296,2.295089687,2.004704007,-0.799844281,-0.483671041,2.715116132,4.535628699,2.402659838,2.546335198,2.599776107,2.394299373
Denmark,DNK,"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,,,0.823089187,0.466344928,0.390073865,2.668193459,2.336664491,3.912924347,0.909360891,-0.512024949,-4.90662992,1.870993691,1.336830625,0.226522968,0.933294405,1.67593432,1.606086132,1.3,1.5,1.7,1.8
